Symbol,Company Name
TORNTPHARM,Torrent Pharmaceuticals Limited
MAXHEALTH,Max Healthcare Institute Limited
SHREECEM,Shree Cement Limited
SIEMENS,Siemens Limited
INDUSTOWER,Indus Towers Limited
BAJAJHFL,Bajaj Housing Finance Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
DIXON,Dixon Technologies (India) Limited
MANKIND,Mankind Pharma Limited
HAVELLS,Havells India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
UNIONBANK,Union Bank of India
HDFCAMC,HDFC Asset Management Company Limited
CGPOWER,CG Power and Industrial Solutions Limited
LUPIN,Lupin Limited
MOTHERSON,Samvardhana Motherson International Limited
NAUKRI,Info Edge (India) Limited
JINDALSTEL,Jindal Steel & Power Limited
GMRAIRPORT,GMR Airports Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
MARICO,Marico Limited
ZYDUSLIFE,Zydus Lifesciences Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
SRF,SRF Limited
CANBK,Canara Bank
MUTHOOTFIN,Muthoot Finance Limited
POLYCAB,Polycab India Limited
BOSCHLTD,Bosch Limited
IDBI,IDBI Bank Limited
BSE,BSE Limited
DABUR,Dabur India Limited
NTPCGREEN,NTPC Green Energy Limited
BHARTIHEXA,Bharti Hexacom Limited
NHPC,NHPC Limited
SBICARD,SBI Cards and Payment Services Limited
PERSISTENT,Persistent Systems Limited
JSWENERGY,JSW Energy Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
CUMMINSIND,Cummins India Limited
BHEL,Bharat Heavy Electricals Limited
SUZLON,Suzlon Energy Limited
INDIANB,Indian Bank
IDEA,Vodafone Idea Limited
POLICYBZR,PB Fintech Limited
HEROMOTOCO,Hero MotoCorp Limited
OFSS,Oracle Financial Services Software Limited
GICRE,General Insurance Corporation of India
TORNTPOWER,Torrent Power Limited
RVNL,Rail Vikas Nigam Limited
WAAREEENER,Waaree Energies Limited
IOB,Indian Overseas Bank
AUROPHARMA,Aurobindo Pharma Limited
SWIGGY,Swiggy Limited
COLPAL,Colgate-Palmolive (India) Limited
PATANJALI,Patanjali Foods Limited
GODREJPROP,Godrej Properties Limited
INDUSINDBK,IndusInd Bank Limited
ATGL,Adani Total Gas Limited
ASHOKLEY,Ashok Leyland Limited
OIL,Oil India Limited
COROMANDEL,Coromandel International Limited
POWERINDIA,Hitachi Energy India Limited
ABBOTINDIA,Abbott India Limited
LLOYDSME,Lloyds Metals and Energy Limited
BERGEPAINT,Berger Paints India Limited
IRCTC,Indian Railway Catering & Tourism Corporation Limited
ALKEM,Alkem Laboratories Limited
JSWINFRA,JSW Infrastructure Limited
OBEROIRLTY,Oberoi Realty Limited
PRESTIGE,Prestige Estates Projects Limited
UPL,UPL Limited
TIINDIA,Tube Investments of India Limited
SUNDARMFIN,Sundaram Finance Limited
UPLPP1,UPL Limited
NMDC,NMDC Limited
MRF,MRF Limited
BDL,Bharat Dynamics Limited
VMM,Vishal Mega Mart Limited
UBL,United Breweries Limited
PIIND,PI Industries Limited
NYKAA,FSN E-Commerce Ventures Limited
YESBANK,Yes Bank Limited
SCHAEFFLER,Schaeffler India Limited
PHOENIXLTD,The Phoenix Mills Limited
KALYANKJIL,Kalyan Jewellers India Limited
LINDEINDIA,Linde India Limited
BHARATFORG,Bharat Forge Limited
PAYTM,One97 Communications Limited
BANKINDIA,Bank of India Limited
BALKRISIND,Balkrishna Industries Limited
ABCAPITAL,Aditya Birla Capital Limited
FORTIS,Fortis Healthcare Limited
PAGEIND,Page Industries Limited
AUBANK,AU Small Finance Bank Limited
UNOMINDA,Uno Minda Limited
FACT,The Fertilisers and Chemicals Travancore Limited
COFORGE,Coforge Limited
JSL,Jindal Stainless Limited
IDFCFIRSTB,IDFC First Bank Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
JUBLFOOD,Jubilant FoodWorks Limited
PETRONET,Petronet LNG Limited
FEDERALBNK,The Federal Bank Limited
SAIL,Steel Authority of India Limited
MPHASIS,Mphasis Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
HUDCO,Housing and Urban Development Corporation Limited
GODFRYPHLP,Godfrey Phillips India Limited
PREMIERENE,Premier Energies Limited
MFSL,Max Financial Services Limited
IREDA,Indian Renewable Energy Development Agency Limited
TATACOMM,Tata Communications Limited
LTTS,L&T Technology Services Limited
APLAPOLLO,APL Apollo Tubes Limited
SUPREMEIND,The Supreme Industries Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
HEXT,Hexaware Technologies Limited
CONCOR,Container Corporation of India Limited
LTF,L&T Finance Limited
VOLTAS,Voltas Limited
COCHINSHIP,Cochin Shipyard Limited
ITCHOTELS,ITC Hotels Limited
GET_D,GE Vernova T&D India Limited
GVT_D,GE Vernova T&D India Limited
JKCEMENT,J.K. Cement Limited
MAHABANK,Bank of Maharashtra
GLENMARK,Glenmark Pharmaceuticals Limited
UCOBANK,UCO Bank
BIOCON,Biocon Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
360ONE,360 One Wam Limited
KAYNES,Kaynes Technology India Limited
SJVN,SJVN Limited
THERMAX,Thermax Limited
DALBHARAT,Dalmia Bharat Limited
TATAELXSI,Tata Elxsi Limited
NH,Narayana Hrudayalaya Limited
GODREJIND,Godrej Industries Limited
EMBASSY,Embassy Office Parks REIT
AWL,AWL Agri Business Limited
ESCORTS,Escorts Kubota Limited
ASTRAL,Astral Limited
KPRMILL,K.P.R. Mill Limited
ACC,ACC Limited
IPCALAB,Ipca Laboratories Limited
BLUESTARCO,Blue Star Limited
KPITTECH,KPIT Technologies Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CRISIL,CRISIL Limited
3MINDIA,3M India Limited
LICHSGFIN,LIC Housing Finance Limited
LAURUSLABS,Laurus Labs Limited
CENTRALBK,Central Bank of India
RADICO,Radico Khaitan Limited
M_MFIN,Mahindra & Mahindra Financial Services Limited
MEDANTA,Global Health Limited
AJANTPHARM,Ajanta Pharma Limited
MCX,Multi Commodity Exchange of India Limited
SONACOMS,Sona BLW Precision Forgings Limited
NLCINDIA,NLC India Limited
GUJGASLTD,Gujarat Gas Limited
EXIDEIND,Exide Industries Limited
HONAUT,Honeywell Automation India Limited
APOLLOTYRE,Apollo Tyres Limited
AIIL,Authum Investment & Infrastructure Limited
POONAWALLA,Poonawalla Fincorp Limited
TATAINVEST,Tata Investment Corporation Limited
ABFRL,Aditya Birla Fashion and Retail Limited
AIAENG,AIA Engineering Limited
NATIONALUM,National Aluminium Company Limited
METROBRAND,Metro Brands Limited
SUVENPHAR,Suven Pharmaceuticals Limited
ISEC,ICICI Securities Limited
KEI,KEI Industries Limited
PPLPHARMA,Piramal Pharma Limited
NIACL,The New India Assurance Company Limited
AEGISLOG,Aegis Logistics Limited
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited
EMAMILTD,Emami Limited
IRB,IRB Infrastructure Developers Limited
DEEPAKNTR,Deepak Nitrite Limited
CDSL,Central Depository Services (India) Limited
PNBHOUSING,PNB Housing Finance Limited
TATATECH,Tata Technologies Limited
IGL,Indraprastha Gas Limited
JSWHL,JSW Holdings Limited
JYOTICNC,Jyoti CNC Automation Limited
KIMS,Krishna Institute of Medical Sciences Limited
ENDURANCE,Endurance Technologies Limited
GODIGIT,Go Digit General Insurance Limited
POLYMED,Poly Medicure Limited
SUMICHEM,Sumitomo Chemical India Limited
BANDHANBNK,Bandhan Bank Limited
GILLETTE,Gillette India Limited
NBCC,NBCC (India) Limited
ASTERDM,Aster DM Healthcare Limited
IKS,Inventurus Knowledge Solutions Limited
SYNGENE,Syngene International Limited
MSUMI,Motherson Sumi Wiring India Limited
BRIGADE,Brigade Enterprises Limited
ITI,ITI Limited
SUNTV,Sun TV Network Limited
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited
SHYAMMETL,Shyam Metalics and Energy Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
FSL,Firstsource Solutions Limited
PGEL,PG Electroplast Limited
LALPATHLAB,Dr. Lal PathLabs Limited
MINDSPACE,Mindspace Business Parks REIT
GLAND,Gland Pharma Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
NAVINFLUOR,Navin Fluorine International Limited
DELHIVERY,Delhivery Limited
EIHOTEL,EIH Limited
INOXWIND,Inox Wind Limited
AFFLE,Affle 3i Limited
RAMCOCEM,The Ramco Cements Limited
APARINDS,APAR Industries Limited
PEL,Piramal Enterprises Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
CESC,CESC Limited
NUVAMA,Nuvama Wealth Management Limited
HSCL,Himadri Speciality Chemical Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
OLAELEC,Ola Electric Mobility Limited
DEVYANI,Devyani International Limited
TATACHEM,Tata Chemicals Limited
WOCKPHARMA,Wockhardt Limited
ABREL,Aditya Birla Real Estate Limited
BAYERCROP,Bayer CropScience Limited
HINDCOPPER,Hindustan Copper Limited
AMBER,Amber Enterprises India Limited
ANGELONE,Angel One Limited
ASTRAZEN,AstraZeneca Pharma India Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
PSB,Punjab & Sind Bank
KANSAINER,Kansai Nerolac Paints Limited
AADHARHFC,Aadhar Housing Finance Limited
ERIS,Eris Lifesciences Limited
ATUL,Atul Ltd
FIVESTAR,Five-Star Business Finance Limited
CASTROLIND,Castrol India Limited
WELCORP,Welspun Corp Limited
HATSUN,Hatsun Agro Product Limited
TIMKEN,Timken India Limited
NXST,Nexus Select Trust
PFIZER,Pfizer Limited
KFINTECH,KFin Technologies Limited
MANAPPURAM,Manappuram Finance Limited
SUNDRMFAST,Sundram Fasteners Limited
REDINGTON,Redington Limited
EMCURE,Emcure Pharmaceuticals Limited
SKFINDIA,SKF India Limited
SAGILITY,Sagility India Limited
CARBORUNIV,Carborundum Universal Limited
PTCIL,PTC Industries Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
CAMS,Computer Age Management Services Limited
MANYAVAR,Vedant Fashions Limited
KEC,KEC International Limited
CREDITACC,CreditAccess Grameen Limited
BASF,BASF India Limited
TVSHLTD,TVS Holdings Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
ONESOURCE,OneSource Specialty Pharma Limited
GRINDWELL,Grindwell Norton Limited
GSPL,Gujarat State Petronet Limited
ASAHIINDIA,Asahi India Glass Limited
ARE_M,Amara Raja Energy & Mobility Limited
BIRET,Brookfield India Real Estate Trust
BIKAJI,Bikaji Foods International Limited
CHALET,Chalet Hotels Limited
KARURVYSYA,The Karur Vysya Bank Limited
APLLTD,Alembic Pharmaceuticals Limited
FIRSTCRY,Brainbees Solutions Limited
LMW,LMW Limited
IEX,Indian Energy Exchange Limited
DOMS,DOMS Industries Limited
VINATIORGA,Vinati Organics Limited
VENTIVE,Ventive Hospitality Limited
KPIL,Kalpataru Projects International Limited
ZENSARTECH,Zensar Technologies Limited
APTUS,Aptus Value Housing Finance India Limited
TRITURBINE,Triveni Turbine Limited
RPOWER,Reliance Power Limited
AKZOINDIA,Akzo Nobel India Limited
SIGNATURE,Signatureglobal (India) Limited
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited
ANANTRAJ,Anant Raj Limited
VGUARD,V-Guard Industries Limited
NIVABUPA,Niva Bupa Health Insurance Company Limited
WHIRLPOOL,Whirlpool of India Limited
CIEINDIA,CIE Automotive India Limited
JINDALSAW,Jindal Saw Limited
SARDAEN,Sarda Energy & Minerals Limited
AARTIIND,Aarti Industries Limited
CENTURYPLY,Century Plyboards (India) Limited
BATAINDIA,Bata India Limited
NATCOPHARM,NATCO Pharma Limited
NEULANDLAB,Neuland Laboratories Limited
AFCONS,Afcons Infrastructure Limited
DCMSHRIRAM,DCM Shriram Limited
JBMA,JBM Auto Limited
TARIL,Transformers and Rectifiers (India) Limited
KIOCL,KIOCL Limited
CONCORDBIO,Concord Biotech Limited
IIFL,IIFL Finance Limited
JWL,Jupiter Wagons Limited
SAILIFE,Sai Life Sciences Limited
IRCON,Ircon International Limited
BLUEDART,Blue Dart Express Limited
IGIL,International Gemmological Institute (India) Limited
EIDPARRY,E.I.D.- Parry (India) Limited
BLS,BLS International Services Limited
ANANDRATHI,Anand Rathi Wealth Limited
CAPLIPOINT,Caplin Point Laboratories Limited
JUBLPHARMA,Jubilant Pharmova Limited
AAVAS,Aavas Financiers Limited
KIRLOSBROS,Kirloskar Brothers Limited
ELGIEQUIP,Elgi Equipments Limited
ACE,Action Construction Equipment Limited
NEWGEN,Newgen Software Technologies Limited
GRAVITA,Gravita India Limited
SCHNEIDER,Schneider Electric Infrastructure Limited
CGCL,Capri Global Capital Limited
FINCABLES,Finolex Cables Limited
CEATLTD,CEAT Limited
RAINBOW,Rainbow Children's Medicare Limited
SANOFI,Sanofi India Limited
TRIDENT,Trident Limited
HBLENGINE,HBL Engineering Limited
NCC,NCC Limited
PCBL,PCBL Chemical Limited
JYOTHYLAB,Jyothy Labs Limited
INDIAMART,IndiaMART InterMESH Limited
VTL,Vardhman Textiles Limited
MGL,Mahanagar Gas Limited
ACMESOLAR,ACME Solar Holdings Limited
CYIENT,Cyient Limited
BEML,BEML Limited
ALIVUS,Alivus Life Sciences Limited
SOBHA,Sobha Limited
RRKABEL,R R Kabel Limited
FORCEMOT,Force Motors Limited
BBTC,"The Bombay Burmah Trading Corporation, Limited"
KAJARIACER,Kajaria Ceramics Limited
MAHSCOOTER,Maharashtra Scooters Ltd.
NAVA,Nava Limited
UTIAMC,UTI Asset Management Company Limited
ELECON,Elecon Engineering Company Limited
SWANENERGY,Swan Energy Limited
CUB,City Union Bank Limited
DATAPATTNS,Data Patterns (India) Limited
GODREJAGRO,Godrej Agrovet Limited
INDGN,Indegene Limited
BLUEJET,Blue Jet Healthcare Limited
KSB,KSB Limited
GESHIP,The Great Eastern Shipping Company Limited
ZENTEC,Zen Technologies Limited
TEJASNET,Tejas Networks Limited
FINEORG,Fine Organic Industries Limited
RBLBANK,RBL Bank Limited
CLEAN,Clean Science and Technology Limited
TECHNOE,Techno Electric & Engineering Company Limited
CHOICEIN,Choice International Limited
HOMEFIRST,Home First Finance Company India Limited
SPLPETRO,Supreme Petrochem Limited
INDIGRID,Indigrid Infrastructure Trust
NUVOCO,Nuvoco Vistas Corporation Limited
WELSPUNLIV,Welspun Living Limited
LTFOODS,LT Foods Limited
PARADEEP,Paradeep Phosphates Limited
CELLO,Cello World Limited
INGERRAND,Ingersoll-Rand (India) Limited
EMBDL,Embassy Developments Limited
GPIL,Godawari Power & Ispat Limited
AVANTIFEED,Avanti Feeds Limited
ECLERX,eClerx Services Limited
SONATSOFTW,Sonata Software Limited
IWEL,Inox Wind Energy Limited
MINDACORP,Minda Corporation Limited
TBOTEK,TBO Tek Limited
SANOFICONR,Sanofi Consumer Healthcare India Limited
IFCI,IFCI Limited
INTELLECT,Intellect Design Arena Limited
HFCL,HFCL Limited
BALRAMCHIN,Balrampur Chini Mills Limited
CRAFTSMAN,Craftsman Automation Limited
LEMONTREE,Lemon Tree Hotels Limited
GRANULES,Granules India Limited
BSOFT,Birlasoft Limited
AGARWALEYE,Dr. Agarwal's Health Care Limited
ZYDUSWELL,Zydus Wellness Limited
FINPIPE,Finolex Industries Limited
AETHER,Aether Industries Limited
RKFORGE,Ramkrishna Forgings Limited
TTML,Tata Teleservices (Maharashtra) Limited
JUBLINGREA,Jubilant Ingrevia Limited
JAIBALAJI,Jai Balaji Industries Limited
RITES,RITES Limited
SBFC,SBFC Finance Limited
KIRLOSENG,Kirloskar Oil Engines Limited
SHAKTIPUMP,Shakti Pumps (India) Limited
J_KBANK,The Jammu and Kashmir Bank Limited
GALLANTT,Gallantt Ispat Limited
WESTLIFE,Westlife Foodworld Limited
RAYMOND,Raymond Limited
SAREGAMA,Saregama India Limited
RAILTEL,RailTel Corporation of India Limited
GRINFRA,G R Infraprojects Limited
NSLNISP,NMDC Steel Limited
RELAXO,Relaxo Footwears Limited
SAPPHIRE,Sapphire Foods India Limited
VIJAYA,Vijaya Diagnostic Centre Limited
ZEEL,Zee Entertainment Enterprises Limited
MAPMYINDIA,C. E. Info Systems Limited
ENGINERSIN,Engineers India Limited
RELINFRA,Reliance Infrastructure Limited
SAPPHIRE,Sapphire Foods India Limited
RELINFRA,Reliance Infrastructure Limited
MARKSANS,Marksans Pharma Limited
MEDPLUS,MedPlus Health Services Limited
VESUVIUS,Vesuvius India Limited
SAMMAANCAP,Sammaan Capital Limited
TITAGARH,Titagarh Rail Systems Limited
AMIORG,Ami Organics Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
SAFARI,Safari Industries (India) Limited
OLECTRA,Olectra Greentech Limited
JMFINANCIL,JM Financial Limited
JPPOWER,Jaiprakash Power Ventures Limited
PRUDENT,Prudent Corporate Advisory Services Limited
ANURAS,Anupam Rasayan India Ltd
INDIACEM,The India Cements Limited
EUREKAFORB,Eureka Forbes Limited
ARVIND,Arvind Limited
CANFINHOME,Can Fin Homes Limited
JLHL,Jupiter Life Line Hospitals Limited
DBREALTY,Valor Estate Limited
INDIASHLTR,India Shelter Finance Corporation Limited
PVRINOX,PVR INOX Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
TRIVENI,Triveni Engineering & Industries Limited
GANESHHOUC,Ganesh Housing Corporation Limited
GRAPHITE,Graphite India Limited
RHIM,RHI Magnesita India Limited
JKLAKSHMI,JK Lakshmi Cement Limited
ITDCEM,ITD Cementation India Limited
USHAMART,Usha Martin Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
NETWEB,Netweb Technologies India Limited
INOXINDIA,INOX India Limited
HEG,HEG Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
STARCEMENT,Star Cement Limited
ABDL,Allied Blenders and Distillers Limited
TTKPRESTIG,TTK Prestige Limited
METROPOLIS,Metropolis Healthcare Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
MAHSEAMLES,Maharashtra Seamless Limited
JKTYRE,JK Tyre & Industries Limited
NAZARA,Nazara Technologies Limited
PRAJIND,Praj Industries Limited
TEGA,Tega Industries Limited
GARFIBRES,Garware Technical Fibres Limited
CARTRADE,CarTrade Tech Limited
MMTC,MMTC Limited
POWERMECH,Power Mech Projects Limited
SYRMA,Syrma SGS Technology Limited
PGHL,Procter & Gamble Health Limited
ALOKINDS,Alok Industries Limited
VOLTAMP,Voltamp Transformers Limited
BIRLACORPN,Birla Corporation Limited
HCG,HealthCare Global Enterprises Limited
TIPSMUSIC,Tips Music Limited
GMRP_UI,GMR Power And Urban Infra Limited
LATENTVIEW,Latent View Analytics Limited
GENUSPOWER,Genus Power Infrastructures Limited
WABAG,VA Tech Wabag Limited
SCI,The Shipping Corporation of India Limited
SHRIPISTON,Shriram Pistons & Rings Limited
SYMPHONY,Symphony Limited
AKUMS,Akums Drugs and Pharmaceuticals Limited
SANDUMA,The Sandur Manganese & Iron Ores Limited
HONASA,Honasa Consumer Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
ASTRAMICRO,Astra Microwave Products Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
ASKAUTOLTD,ASK Automotive Limited
CCL,CCL Products (India) Limited
ISGEC,Isgec Heavy Engineering Limited
PCJEWELLER,PC Jeweller Limited
MANORAMA,Manorama Industries Limited
TCI,Transport Corporation of India Limited
GABRIEL,Gabriel India Limited
PRIVISCL,Privi Speciality Chemicals Limited
KPIGREEN,KPI Green Energy Limited
JUSTDIAL,Just Dial Limited
TIMETECHNO,Time Technoplast Limited
TV18BRDCST,TV18 Broadcast Limited
SUNDARMHLD,Sundaram Finance Holdings Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
EPIGRAL,Epigral Limited
ACI,Archean Chemical Industries Limited
AJAXENGG,Ajax Engineering Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
EDELWEISS,Edelweiss Financial Services Limited
PGINVIT,Powergrid Infrastructure Investment Trust
BLACKBUCK,Zinka Logistics Solutions Limited
CMSINFO,CMS Info Systems Limited
KIRLPNU,Kirloskar Pneumatic Company Limited
KSCL,Kaveri Seed Company Limited
CAMPUS,Campus Activewear Limited
AURIONPRO,Aurionpro Solutions Limited
SHAILY,Shaily Engineering Plastics Limited
REDTAPE,REDTAPE Limited
HAPPYFORGE,Happy Forgings Limited
KTKBANK,The Karnataka Bank Limited
HGINFRA,H.G. Infra Engineering Limited
EQUITASBNK,Equitas Small Finance Bank Limited
GALAXYSURF,Galaxy Surfactants Limited
PNGJL,P N Gadgil Jewellers Limited
SFL,Sheela Foam Limited
ORIENTCEM,Orient Cement Limited
ESABINDIA,ESAB India Limited
TMB,Tamilnad Mercantile Bank Limited
GRWRHITECH,Garware Hi-Tech Films Limited
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited
KRBL,KRBL Limited
RELIGARE,Religare Enterprises Limited
CERA,Cera Sanitaryware Limited
IIFLCAPS,IIFL Capital Services Limited
FDC,FDC Limited
BBOX,Black Box Limited
PNCINFRA,PNC Infratech Limited
MOIL,MOIL Limited
SANSERA,Sansera Engineering Limited
TANLA,Tanla Platforms Limited
VARROC,Varroc Engineering Limited
WELENT,Welspun Enterprises Limited
SOUTHBANK,The South Indian Bank Limited
NETWORK18,Network18 Media & Investments Limited
GPPL,Gujarat Pipavav Port Limited
MAXESTATES,Max Estates Limited
NESCO,Nesco Limited
LLOYDSENT,Lloyds Enterprises Limited
THOMASCOOK,Thomas Cook (India) Limited
TDPOWERSYS,TD Power Systems Limited
BORORENEW,Borosil Renewables Limited
MASTEK,Mastek Limited
MHRIL,Mahindra Holidays & Resorts India Limited
UEL,Ujaas Energy Limited
DODLA,Dodla Dairy Limited
RUSTOMJEE,Keystone Realtors Limited
JUNIPER,Juniper Hotels Limited
JINDWORLD,Jindal Worldwide Limited
TRANSRAILL,Transrail Lighting Limited
AARTIPHARM,Aarti Pharmalabs Limited
CHEMPLASTS,Chemplast Sanmar Limited
EPL,EPL Limited
SWSOLAR,Sterling and Wilson Renewable Energy Limited
THANGAMAYL,Thangamayil Jewellery Limited
BAJAJELEC,Bajaj Electricals Limited
LLOYDSENGG,Lloyds Engineering Works Limited
HNDFDS,Hindustan Foods Limited
DBL,Dilip Buildcon Limited
VMART,V-Mart Retail Limited
IONEXCHANG,Ion Exchange (India) Limited
GOKEX,Gokaldas Exports Limited
ANUP,The Anup Engineering Limited
KNRCON,KNR Constructions Limited
EMUDHRA,eMudhra Limited
BALUFORGE,Balu Forge Industries Limited
PRSMJOHNSN,Prism Johnson Limited
STAR,Strides Pharma Science Limited
ROUTE,Route Mobile Limited
RENUKA,Shree Renuka Sugars Limited
CSBBANK,CSB Bank Limited
ETHOSLTD,Ethos Limited
ELECTCAST,Electrosteel Castings Limited
ICIL,Indo Count Industries Limited
MIDHANI,Mishra Dhatu Nigam Limited
MANINFRA,Man Infraconstruction Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
SUNTECK,Sunteck Realty Limited
V2RETAIL,V2 Retail Limited
DHANUKA,Dhanuka Agritech Limited
RTNINDIA,RattanIndia Enterprises Limited
TIIL,Technocraft Industries (India) Limited
RAYMONDLSL,Raymond Lifestyle Limited
AVALON,Avalon Technologies Limited
SHILPAMED,Shilpa Medicare Limited
ENTERO,Entero Healthcare Solutions Limited
GHCL,GHCL Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
IXIGO,Le Travenues Technology Limited
SKIPPER,Skipper Limited
BANSALWIRE,Bansal Wire Industries Limited
TI,Tilaknagar Industries Ltd.
RAJESHEXPO,Rajesh Exports Limited
ICRA,ICRA Limited
SURYAROSNI,Surya Roshni Limited
JSLL,Jeena Sikho Lifecare Limited
TEXRAIL,Texmaco Rail & Engineering Limited
SHOPERSTOP,Shoppers Stop Limited
PURVA,Puravankara Limited
SENCO,Senco Gold Limited
WEBELSOLAR,Websol Energy System Limited
PARAS,Paras Defence and Space Technologies Limited
RTNPOWER,RattanIndia Power Limited
BANCOINDIA,Banco Products (India) Limited
AVL,Aditya Vision Limited
ARVINDFASN,Arvind Fashions Limited
MAHLIFE,Mahindra Lifespace Developers Limited
SUPRAJIT,Suprajit Engineering Limited
PROTEAN,Protean eGov Technologies Limited
REFEX,Refex Industries Limited
PDSL,PDS Limited
AGI,AGI Greenpac Limited
SUPRIYA,Supriya Lifescience Limited
JKPAPER,JK Paper Limited
RATEGAIN,RateGain Travel Technologies Limited
GAEL,Gujarat Ambuja Exports Limited
JSFB,Jana Small Finance Bank Limited
EMIL,Electronics Mart India Limited
PRICOLLTD,Pricol Limited
NIITMTS,NIIT Learning Systems Limited
GREENLAM,Greenlam Industries Limited
PTC,PTC India Limited
INNOVACAP,Innova Captab Limited
